id,country,oecd,coal,crude_oil,oil_products,natural_gas,hydro,geothermal_social_etc,biofuels_and_waste,electricity,heat,total,created_at,updated_at
1,AUSTRALI,1,,,,,,,,,,,2016-02-08 11:02:27.241381,2016-02-08 11:02:27.241381
2,AUSTRIA,1,,,,,,,,,,,2016-02-08 11:02:27.252249,2016-02-08 11:02:27.252249
3,BELGIUM,1,,,,,,,,,,,2016-02-08 11:02:27.261413,2016-02-08 11:02:27.261413
4,CANADA,1,,,,,,,,,,,2016-02-08 11:02:27.269134,2016-02-08 11:02:27.269134
5,CHILE,1,,,,,,,,,,,2016-02-08 11:02:27.271745,2016-02-08 11:02:27.271745
6,CZECH,1,,,,,,,,,,,2016-02-08 11:02:27.274228,2016-02-08 11:02:27.274228
7,DENMARK,1,,,,,,,,,,,2016-02-08 11:02:27.276801,2016-02-08 11:02:27.276801
8,ESTONIA,1,,,,,,,,,,,2016-02-08 11:02:27.279125,2016-02-08 11:02:27.279125
9,FINLAND,1,,,,,,,,,,,2016-02-08 11:02:27.281269,2016-02-08 11:02:27.281269
10,FRANCE,1,,,,,,,,,,,2016-02-08 11:02:27.28344,2016-02-08 11:02:27.28344
11,GERMANY,1,,,,,,,,,,,2016-02-08 11:02:27.285718,2016-02-08 11:02:27.285718
12,GREECE,1,,,,,,,,,,,2016-02-08 11:02:27.28797,2016-02-08 11:02:27.28797
13,HUNGARY,1,,,,,,,,,,,2016-02-08 11:02:27.290102,2016-02-08 11:02:27.290102
14,ICELAND,1,,,,,,,,,,,2016-02-08 11:02:27.292496,2016-02-08 11:02:27.292496
15,IRELAND,1,,,,,,,,,,,2016-02-08 11:02:27.294565,2016-02-08 11:02:27.294565
16,ISRAEL,1,,,,,,,,,,,2016-02-08 11:02:27.296651,2016-02-08 11:02:27.296651
17,ITALY,1,,,,,,,,,,,2016-02-08 11:02:27.29915,2016-02-08 11:02:27.29915
18,JAPAN,1,,,,,,,,,,,2016-02-08 11:02:27.30173,2016-02-08 11:02:27.30173
19,KOREA,1,,,,,,,,,,,2016-02-08 11:02:27.303783,2016-02-08 11:02:27.303783
20,LUXEMBOU,1,,,,,,,,,,,2016-02-08 11:02:27.306017,2016-02-08 11:02:27.306017
21,MEXICO,1,,,,,,,,,,,2016-02-08 11:02:27.308287,2016-02-08 11:02:27.308287
22,NETHLAND,1,,,,,,,,,,,2016-02-08 11:02:27.310766,2016-02-08 11:02:27.310766
23,NZ,1,,,,,,,,,,,2016-02-08 11:02:27.312853,2016-02-08 11:02:27.312853
24,NORWAY,1,,,,,,,,,,,2016-02-08 11:02:27.314836,2016-02-08 11:02:27.314836
25,POLAND,1,,,,,,,,,,,2016-02-08 11:02:27.317181,2016-02-08 11:02:27.317181
26,PORTUGAL,1,,,,,,,,,,,2016-02-08 11:02:27.319293,2016-02-08 11:02:27.319293
27,SLOVAKIA,1,,,,,,,,,,,2016-02-08 11:02:27.321665,2016-02-08 11:02:27.321665
28,SLOVENIA,1,,,,,,,,,,,2016-02-08 11:02:27.324032,2016-02-08 11:02:27.324032
29,SPAIN,1,,,,,,,,,,,2016-02-08 11:02:27.326176,2016-02-08 11:02:27.326176
30,SWEDEN,1,,,,,,,,,,,2016-02-08 11:02:27.328181,2016-02-08 11:02:27.328181
31,SWITLAND,1,,,,,,,,,,,2016-02-08 11:02:27.33022,2016-02-08 11:02:27.33022
32,TURKEY,1,,,,,,,,,,,2016-02-08 11:02:27.332617,2016-02-08 11:02:27.332617
33,UK,1,,,,,,,,,,,2016-02-08 11:02:27.334787,2016-02-08 11:02:27.334787
34,USA,1,,,,,,,,,,,2016-02-08 11:02:27.336909,2016-02-08 11:02:27.336909
35,ALBANIA,0,,,,,,,,,,,2016-02-08 11:02:27.365552,2016-02-08 11:02:27.365552
36,ALGERIA,0,,,,,,,,,,,2016-02-08 11:02:27.36765,2016-02-08 11:02:27.36765
37,ANGOLA,0,,,,,,,,,,,2016-02-08 11:02:27.369664,2016-02-08 11:02:27.369664
38,ARGENTINA,0,,,,,,,,,,,2016-02-08 11:02:27.371761,2016-02-08 11:02:27.371761
39,ARMENIA,0,,,,,,,,,,,2016-02-08 11:02:27.374045,2016-02-08 11:02:27.374045
40,AZERBAIJAN,0,,,,,,,,,,,2016-02-08 11:02:27.376063,2016-02-08 11:02:27.376063
41,BAHRAIN,0,,,,,,,,,,,2016-02-08 11:02:27.378226,2016-02-08 11:02:27.378226
42,BANGLADESH,0,,,,,,,,,,,2016-02-08 11:02:27.38032,2016-02-08 11:02:27.38032
43,BELARUS,0,,,,,,,,,,,2016-02-08 11:02:27.382637,2016-02-08 11:02:27.382637
44,BENIN,0,,,,,,,,,,,2016-02-08 11:02:27.384716,2016-02-08 11:02:27.384716
45,BOLIVIA,0,,,,,,,,,,,2016-02-08 11:02:27.386848,2016-02-08 11:02:27.386848
46,BOSNIAHERZ,0,,,,,,,,,,,2016-02-08 11:02:27.389371,2016-02-08 11:02:27.389371
47,BOTSWANA,0,,,,,,,,,,,2016-02-08 11:02:27.391496,2016-02-08 11:02:27.391496
48,BRAZIL,0,,,,,,,,,,,2016-02-08 11:02:27.393536,2016-02-08 11:02:27.393536
49,BRUNEI,0,,,,,,,,,,,2016-02-08 11:02:27.395638,2016-02-08 11:02:27.395638
50,BULGARIA,0,,,,,,,,,,,2016-02-08 11:02:27.39787,2016-02-08 11:02:27.39787
51,CAMBODIA,0,,,,,,,,,,,2016-02-08 11:02:27.399941,2016-02-08 11:02:27.399941
52,CAMEROON,0,,,,,,,,,,,2016-02-08 11:02:27.402127,2016-02-08 11:02:27.402127
53,CHINA,0,,,,,,,,,,,2016-02-08 11:02:27.404242,2016-02-08 11:02:27.404242
54,COLOMBIA,0,,,,,,,,,,,2016-02-08 11:02:27.406636,2016-02-08 11:02:27.406636
55,CONGO,0,,,,,,,,,,,2016-02-08 11:02:27.408639,2016-02-08 11:02:27.408639
